Number,Title,Company,City,State,Zip,Country,Salary,MinSalary,MaxSalary,AvgSalary,Rating,Summary,Website,Type of Job,Level of Job,,
15,Data Scientist (Jr. to Sr. Level),Zachary Piper Solutions,Portland,OR,97214,USA,"$100,000 - $200,000 a year",100000.00,200000.00,150000.00,4, At least 3 years if Data Science experience.Working closely with the Data Science team to address issues in a timely manner.Strong ability in SQL and Python.,Indeed.com,Data Scientist,Senior,,
16,Data Science Analyst,Blue Cross Blue Shield of Michigan,Detroit,MI,,USA,0.00,0.00,0.00,0.00,3.9," Bachelor‚Äôs degree in Business, Data Science, Statistics, Economics, Engineering, Computer Science, Operations Research or related field is required.",Indeed.com,Data Analyst,,,
17,Information Security Analyst II - Data Science and Automation Analyst,Blue Cross Blue Shield of Michigan,Detroit,MI,,USA,0.00,0.00,0.00,0.00,3.9," Gather, organize, and maintain data for reporting.Check existing accounts and data access permission requests against documented authorizations.",Indeed.com,Data Analyst,,,
18,Enterprise Data and Analytics Engineer,Comerica Bank,,,,USA,0.00,0.00,0.00,0.00,3.7," 2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or‚Ä¶",Indeed.com,Data Engineer,,,
19,Data Science Engineer (2 years exp required),ESS Analysis,,,,USA,0.00,0.00,0.00,0.00,," Data Science Engineer will also generate reports, presentations and recommendation based on the analyses.Efficiently mine large data sets using Python/Spark or‚Ä¶",Indeed.com,Data Engineer,,,
20,Data Science Manager,Big Fish Games,,,,USA,0.00,0.00,0.00,0.00,3.6, Work with Data Science to inform development of predictive models that guide product decisions.3-5 years related experience as a lead/manager building and‚Ä¶,Indeed.com,Data Scientist,,,
21,Data Scientist,BankUnited,,,,USA,0.00,0.00,0.00,0.00,3.8," Solid knowledge of current technology data architecture, particularly data lakes and cloud environments.SUMMARY: The Data Scientist is part of BankUnited's‚Ä¶",Indeed.com,Data Scientist,,,
22,Statistics and Data Science Engineer,Canary Systems Inc.,,,,USA,0.00,0.00,0.00,0.00,4, We are looking for an individual with a statistical and data science background to assist supporting the implementation of our systems at various locations.,Indeed.com,Data Engineer,,,
23,"Senior Analyst, Data Science Integrations",Wayfair,,,,USA,0.00,0.00,0.00,0.00,3.3," Senior Analyst, Data Science Integrations.The team focuses on optimizing Wayfair s merchandising processes by defining a problem, building enablement of data‚Ä¶",Indeed.com,Data Analyst,Senior,,
24,Data Engineer,Noetic Strategies Inc.,,,,USA,"$110,000 - $158,000 a year",110000.00,158000.00,134000.00,, Relevant data engineering: 5 years (Required).Prepare data for predictive and prescriptive modeling.Noetic is seeking a Data Engineer to collaborate with‚Ä¶,Indeed.com,Data Engineer,,,
25,"CIB-Wholesale Payments-Data Science & Artificial Intelligence-Product Manager, VP/ED",JP Morgan Chase,New York,NY,10179,USA,0.00,0.00,0.00,0.00,3.9," Manage a team of data scientists, data engineers, and design strategists to drive the right kind of decision-making from solution concepting into data modeling‚Ä¶",Indeed.com,AI/ML,,,
26,Data Scientist (Telework Available in the DC Metro area),Noblis,Lanham,MD,,USA,0.00,0.00,0.00,0.00,4.1, Support the design and implementation of data integration across data analytics infrastructures.Progressive experience in data analytics.,Indeed.com,Data Scientist,,,
27,Data Scientist,Pepperdata,,,,USA,0.00,0.00,0.00,0.00,, Drive the collection of new data and the refinement of existing data sources.5+ years of work experience and 3+ in data science/quantitative fields.,Indeed.com,Data Scientist,,,
28,Data Scientist,Physera,,,,USA,0.00,0.00,0.00,0.00,," You are a data scientist who likes diversity in your daily work, taking on challenges at any point in the data science stack: instrumentation, aggregation,‚Ä¶",Indeed.com,Data Scientist,,,
29,"Data Scientist, Senior",UVA Medical Center,Charlottesville,VA,,USA,"$97,302 - $155,667 a year",97302.00,155667.00,126484.50,3.7, Provides guidance to less experienced data analysts/scientists.Regularly provides guidance and training to less experienced data analysts/scientists.,Indeed.com,Data Scientist,Senior,,
30,"Data Scientist, Experimentation",Codecademy,New York,NY,,USA,0.00,0.00,0.00,0.00,4.1, Work with our data science and engineering teams to maintain data integrity.You have strong data intuition and knowledge of using data science best practices‚Ä¶,Indeed.com,Data Scientist,,,
31,Entry level Azure Data Engineer,Talent Hire consulting,Plano,TX,,USA,0.00,0.00,0.00,0.00,, Degree in Computer Science or Information Systems/Technology preferred.Support the build and deployment of Azure Data & Analytics Platforms in our customer's‚Ä¶,Indeed.com,Data Engineer,Entry Level,,
32,Data Privacy Program Sr Analyst,JP Morgan Chase,Wilmington,DE,19801,USA,0.00,0.00,0.00,0.00,3.9," Establish and oversee data quality expectations for all in-scope Data Privacy data.The team encompasses a variety of Data & Analytics disciplines, from data‚Ä¶",Indeed.com,Data Analyst,Senior,,
33,Data Science Lead,BRAVIANT HOLDINGS,Chicago,IL,,USA,0.00,0.00,0.00,0.00,," Master‚Äôs degree in Data Science, Applied Mathematics, Statistics, Economics, Computer Science or other quantitative field.What you will be doing:",Indeed.com,Data Scientist,Senior,,
34,Senior Data Scientist,Cigna,,,,USA,0.00,0.00,0.00,0.00,3.7," Advanced degree in Statistics, Mathematics, Data Science, Biostatistics, or Epidemiology and/or 2-5 years of related data science work experience in healthcare.",Indeed.com,Data Scientist,Senior,,
35,Data Scientist,BankUnited,,,,USA,0.00,0.00,0.00,0.00,3.8," Solid knowledge of current technology data architecture, particularly data lakes and cloud environments.The Data Scientist is part of BankUnited's newly formed‚Ä¶",Indeed.com,Data Scientist,,,
36,Retail Data Science Manager,SalonCentric,,,,USA,0.00,0.00,0.00,0.00,3.3, Position Retail Data Science Manager.Ensure data health through regular checks and troubleshoot any data flow issues with internal IT partners.,Indeed.com,Data Scientist,Mid Level,,
37,Data Science Practice Lead,Excella,,,,USA,0.00,0.00,0.00,0.00,4.5, Experience leading a team in delivering a data science product as part of a larger data science roadmap.Using machine learning and data mining techniques to‚Ä¶,Indeed.com,Data Scientist,Senior,,
38,Cognitive/Machine Learning - Data Scientist,Humana,,,,USA,0.00,0.00,0.00,0.00,3.7," Humanas Data Health and Analytics Team is seeking a Cognitive/Machine Learning Data Scientist.Experience performing data management, mining, and manipulation‚Ä¶",Indeed.com,AI/ML,,,
39,"Staff Data Scientist, Business Analytics - Payments",Intuit,,,,USA,0.00,0.00,0.00,0.00,4.2," Pursue data quality, troubleshoot data validation, and see issues to resolution.Create dashboards by pulling data from different sources and present them to‚Ä¶",Indeed.com,Data Analyst,,,
40,Entry Level Data Scientist,IBM,,,,USA,0.00,0.00,0.00,0.00,3.9," Data scientists use a variety of data (structured, unstructured, IoT streaming), analytics, AI tools, and programming languages often using a cloud‚Ä¶",Indeed.com,Data Scientist,Entry Level,,
41,Data Science and Strategy Extern,Impossible Foods,Redwood City,CA,,USA,0.00,0.00,0.00,0.00,3.6, Our small team is composed primarily of ex-consultants and has a broad mandate to work across functions to help the business formulate and execute its goals.,Indeed.com,Data Scientist,,,
42,Data Scientist - Entry Level,Numerdox,Sacramento,CA,,USA,0.00,0.00,0.00,0.00,," As a Data Scientist you will be working on consulting side of our business.Bachelors, MS or PhD in a relevant field (Computer Science, Engineering, Statistics,‚Ä¶",Indeed.com,Data Scientist,Entry Level,,
43,Data Scientist,AETNA,New York,NY,10016,USA,0.00,0.00,0.00,0.00,3.7, Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources.Pricing) better predict member care journeys.,Indeed.com,Data Scientist,,,
44,Associate Data Scientist SNKRS,Nike,New York,NY,10011,USA,0.00,0.00,0.00,0.00,4.2, Experience collecting / creating data when the perfect data don‚Äôt exist.Use contemporary data science and analytics methods and tools to derive actionable‚Ä¶,Indeed.com,Data Scientist,,,
45,Data Scientist,DTE Energy,Detroit,MI,,USA,0.00,0.00,0.00,0.00,4," Master‚Äôs or PhD degree in Data Science.Knowledge and intermediate-level skills in data modeling, data structure, and the application of complex SQL queries‚Ä¶",Indeed.com,Data Scientist,,,
46,Jr. Data Scientist,SConcept,Carrollton,TX,,USA,"$79,000 - $86,000 a year",79000.00,86000.00,82500.00,, Experience with Data Science and Programming Languages like R\*/Java/Python/.Net\*.Translate data analytics into business speak.,Indeed.com,Data Scientist,Entry Level,,
47,2020 Intern - Data Scientist,IBM,,,,USA,0.00,0.00,0.00,0.00,3.9," Create and present materials on data projects, data science architecture and analytics strategies.Data scientists use a variety of data (structured,‚Ä¶",Indeed.com,Data Scientist,Intern,,
48,Staff Data Scientist,Intuit,,,,USA,0.00,0.00,0.00,0.00,4.2, 3 years as either a lead in a data science role or in a management position in data science.Proven leadership experience in the domain of Data Science.,Indeed.com,Data Scientist,,,
49,Data Warehouse Engineer,Quicken Loans,,,,USA,0.00,0.00,0.00,0.00,3.8," Monitor and troubleshoot data issues on data warehouse servers.Diagnose and resolve data warehouse ETL processes, data flows and business logic failures.",Indeed.com,Data Engineer,,,
50,Group Manager - Data Science,Intuit,,,,USA,0.00,0.00,0.00,0.00,4.2, Provide/inspire data science innovations that fuel the growth of Intuit as a whole.2+ plus years experience as an established technical leader/Manager of data‚Ä¶,Indeed.com,Data Scientist,Mid Level,,
51,Data Science Engineer,"SteepRock, Inc.",,,,USA,"$110,000 - $140,000 a year",110000.00,140000.00,125000.00,, Life sciences technology and services company with a configurable web-based data management platform used by leading pharmaceutical companies seeks a seasoned‚Ä¶,Indeed.com,Data Engineer,,,
52,Senior Data Scientist,GEICO,,,,USA,0.00,0.00,0.00,0.00,3.5," We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment‚Ä¶",Indeed.com,Data Scientist,Senior,,
53,Data Engineer,Virgin Pulse,,,,USA,0.00,0.00,0.00,0.00,3.5," Designing and implementing data warehouse schemas for big data.You have a degree in Computer Science, MiS or Mathematics.What you bring to the team.",Indeed.com,Data Engineer,,,
54,Training and Placement on Data Science,SConcept,Carrollton,TX,,USA,"$85,000 - $90,000 a year",85000.00,90000.00,87500.00,, Training and Placement on Data Science*.Translate data analytics into business speak.Experience with Data Scienceand Programming Languages like R\*/Java‚Ä¶,Indeed.com,Data Scientist,,,
55,2020 Summer College Intern - Data Science Intern,Gulfstream Aerospace,Savannah,GA,,USA,0.00,0.00,0.00,0.00,4," Experience with data science technologies required.Data wrangling, getting and cleaning data:Currently enrolled in a bachelors or graduate program for‚Ä¶",Indeed.com,Data Scientist,Intern,,
56,Data Engineer,BlueVine,,,,USA,0.00,0.00,0.00,0.00,," This is NOT a Data Scientist or Data Analyst role.Possess a sound understanding of areas of Computer Science such as algorithms, data structures, object‚Ä¶",Indeed.com,Data Engineer,,,
57,Senior Software Engineer (Data Science),Future Technology Staffing,,,,USA,$62.50 an hour,127500.00,0.00,63750.00,, Develop and/or configure software related to the data science process.The data science team applies classical machine learning and new deep learning techniques‚Ä¶,Indeed.com,Data Engineer,Senior,,
58,Data Engineer,Streamline - Real Estate Development,,,,USA,"$70,000 - $90,000 a year",70000.00,90000.00,80000.00,," 3+ Years‚Äô experience in a data analysis or data management role.The Data Engineer is responsible for developing, optimizing, and overseeing our company‚Äôs data‚Ä¶",Indeed.com,Data Engineer,,,
59,Senior Data Engineer,Darling Consulting Group,,,,USA,0.00,0.00,0.00,0.00,," Additionally, this person should be an expert in implementing and operating data flow solutions from data ingestion through data consumption.",Indeed.com,Data Engineer,Senior,,
60,Data Science Intern,Sikka Software,,,,USA,0.00,0.00,0.00,0.00,3.2," We are looking for a Data Science Intern who will support our product, sales, leadership and marketing teams with insights gained from analyzing cloud data.",Indeed.com,Data Scientist,Intern,,
61,Data Management Analyst,FCA,Detroit,MI,48226,USA,0.00,0.00,0.00,0.00,4, Ensure a meaningful and complete data catalog that enables the business and data science communities to quickly understand the data landscape.,Indeed.com,Data Analyst,,,
62,Intern - Data Science (Summer 2020),MedPro Group,,,,USA,0.00,0.00,0.00,0.00,3.2," Active pursuit of Data Science, Computer Science, Mathematics or related degree with at least two years completed (and one year remaining).",Indeed.com,Data Scientist,Intern,,
63,Data Scientist,Adavance2,,,,USA,0.00,0.00,0.00,0.00,," Working knowledge of Python and related data science libraries (NumPy, Pandas, Scikit-learn, SciPy).The Data Scientist will be responsible for leveraging their‚Ä¶",Indeed.com,Data Scientist,,,
64,"Siri - Embedded Data Scientist, Data Organization",Apple,,,,USA,0.00,0.00,0.00,0.00,4.2," The vision for the Siri Analytics, Evaluation, and Data Engineering organization is to improve Siri by using data as the voice of our customers.",Indeed.com,Data Scientist,,,
65,"Assistant Director/Director I, Data Science",Liberty Mutual Insurance,,,,USA,"$117,400 - $173,200 a year",117400.00,173200.00,145300.00,3.6," Work with massive amounts of data to build sophisticated models.High-level knowledge of data sources, tools, and the business (lines, systems, pricing plans).",Indeed.com,Data Scientist,Senior,,
66,Data Scientist,Mars,,,,USA,0.00,0.00,0.00,0.00,3.9, 1+ years‚Äô experience in a data science role handling varied and complex data.A BIT ABOUT OUR DATA SCIENCE & ANALYTICS TEAM.Creating a better world for pets.,Indeed.com,Data Scientist,,,
67,Democratization Data Scientist,Ford Motor Company,Dearborn,MI,48126,USA,0.00,0.00,0.00,0.00,4.2," Bachelor's Degree in Statistics, Data Science, Computer Science or related field.Leading efforts to review and deploy fully productionized data science‚Ä¶",Indeed.com,Data Scientist,Entry Level,,
68,Senior Data Decision Scientist - Merchandising,Purchasing Power,,,,USA,0.00,0.00,0.00,0.00,3.2," Conducts exploratory data analysis and modeling.Experience working with analytic tools/software (e.g., Base SAS, SAS Enterprise Miner, R, Python) and‚Ä¶",Indeed.com,Data Scientist,Senior,,
69,Machine Learning Engineer,Triplebyte,,,,USA,"$125,000 - $190,000 a year",125000.00,190000.00,157500.00,," They should be made using crisp data.We've used that data to deliver a 40% conversion rate on our candidates at interview to offer, compared to the industry‚Ä¶",Indeed.com,AI/ML,,,
70,Data Analyst/Data Scientist,Prospect 33,New York,NY,,USA,0.00,0.00,0.00,0.00,4.5," Define data analysis and data science rules development techniques for BAU process.Our client, a Tier 1 Investment bank is looking to put together a Data‚Ä¶",Indeed.com,Data Scientist,Entry Level,,
71,Data Scientist,Dow Technologies and Systems,United,PA,,USA,0.00,0.00,0.00,0.00,, 2+ experience as data scientist working on various data science projects.We are looking for highly motivated Individual who will work with various members of‚Ä¶,Indeed.com,Data Scientist,,,
72,Data Science Internship,DriveTime,Tempe,AZ,85281,USA,0.00,0.00,0.00,0.00,3.4, As a Data Science Intern you will work alongside our Data Science team that act as internal consultants to deliver immediate value and design long term‚Ä¶,Indeed.com,Data Scientist,Intern,,
73,Artificial Intelligence (AI) Associate - Data Scientist,Penn State University,University Park,PA,,USA,0.00,0.00,0.00,0.00,4.3," Knowledge of data structures and data management methods is beneficial;Specifically, the Data Scientist will research state-of-the-art algorithms in machine‚Ä¶",Indeed.com,AI/ML,Mid Level,,
74,Intern - Data Science and Visualization,Fulton Financial Corporation,Lancaster,PA,,USA,0.00,0.00,0.00,0.00,3.3," Data architecture, data engineering, data analytics, Big Data, data visualization data quality, SQL, data governance, data quality, source to target mapping,‚Ä¶",Indeed.com,Data Scientist,Intern,,
75,Jr. Machine Learning/Data science,People tech group,,,,USA,0.00,0.00,0.00,0.00,3.8, Job Title: Jr. Machine Learning/ Data Science Engineer*.Working closely with the current team of Data scientists and engineers on various complex problems.,Indeed.com,AI/ML,Entry Level,,
76,"Data Scientist - Deloitte (Remote, Freelance/Contract)",Experfy,,,,USA,$85 - $150 an hour,173400.00,306000.00,239700.00,, Science or another quantitative field.Data Processing: 2 years (Preferred).Data Analytics: 2 years (Preferred).And draw insights from large data sets.,Indeed.com,Data Scientist,,,
77,Data Scientist,Precima,,,,USA,0.00,0.00,0.00,0.00,3.5, Alliance Data participates in E-Verify.Take analytical objectives and define data requirements.About the Opportunity The Sr. Data Scientist will provide‚Ä¶,Indeed.com,Data Scientist,,,
78,Data Scientist,Techouts Inc,Detroit,MI,,USA,"$65,000 a year",65000.00,0.00,32500.00,," Experience with common data science toolkits, such as R, Weka, NumPy, etc.Analyze data for trends and patterns, and Interpret data with a clear objective in‚Ä¶",Indeed.com,Data Scientist,,,
79,2020 Summer College Intern - Data Science Intern,Gulfstream Aerospace,Savannah,GA,,USA,0.00,0.00,0.00,0.00,4," Experience with data science technologies required.Data wrangling, getting and cleaning data: converting unorganized data into a tidy format.",Indeed.com,Data Scientist,Intern,,
80,Senior Data Decision Scientist - Merchandising,Purchasing Power,,,,USA,0.00,0.00,0.00,0.00,3.2, Creates analytic solutions by exploring innovative data and techniques; conducts exploratory data analysis and modeling.Top of the line hardware.,Indeed.com,Data Scientist,Senior,,
81,Data Engineer,Noetic Strategies Inc.,,,,USA,"$110,000 - $158,000 a year",110000.00,158000.00,134000.00,," Prepare data for predictive and prescriptive modeling.Noetic is seeking a Data Engineer to collaborate with joint forces, providing and maintaining‚Ä¶",Indeed.com,Data Engineer,,,
82,Data Scientist,Aegis Premier Technologies,,,,USA,0.00,0.00,0.00,0.00,," The Data Scientist will help us design, create and deliver products driven from vast consumer data resources.Data mining using state-of-the-art methods.",Indeed.com,Data Scientist,,,
83,Tech Intern - Data Scientist,Comcast,,,,USA,0.00,0.00,0.00,0.00,3.7," Data science, data analytics, machine learning, artificial intelligence, big data.The job entails assistance in data science (including machine learning,‚Ä¶",Indeed.com,Data Scientist,Intern,,
84,Data Scientist 10774 (NO C2C),Production Modeling Corporation,Auburn Hills,MI,,USA,0.00,0.00,0.00,0.00,," Big data streaming frameworks, data processing and real-time:2+ years of experience in big data streaming frameworks, data processing and real-time ingestion‚Ä¶",Indeed.com,Data Scientist,,,
85,Data Scientist,Valen Analytics,,,,USA,0.00,0.00,0.00,0.00,, Effectively represent the Data Science group in a collaborative environment to execute on company goals.Data visualization software and tools.,Indeed.com,Data Scientist,,,
86,Data Engineer,Liberty Mutual Insurance,,,,USA,"$75,300 - $95,000 a year",75300.00,95000.00,85150.00,3.6," You will be working to develop, construct, test, and maintain data architectures for data platform, database, analytical/reporting, or data science uses.",Indeed.com,Data Engineer,,,
87,Data Engineer,Sayari Labs,,,,USA,0.00,0.00,0.00,0.00,, Work with data and analytics experts to strive for greater functionality in our data systems.Sayari is looking for a junior to mid-level Data Engineer to join‚Ä¶,Indeed.com,Data Engineer,,,
88,"Data Scientist, Applied Machine Learning","Prenosis, Inc.",,,,USA,"$90,000 - $110,000 a year",90000.00,110000.00,100000.00,," Collaborate with product, data science, engineering, and business development people to refine existing products and build new products.",Indeed.com,AI/ML,,,
89,Data Scientist,AETNA,New York,NY,10016,USA,0.00,0.00,0.00,0.00,3.7, Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources.Benefit eligibility may vary by position.,Indeed.com,Data Scientist,,,
90,"Data Scientist, Content Platform",Spotify,New York,NY,10011,USA,0.00,0.00,0.00,0.00,4.3," We‚Äôre looking for Data Scientists to join us at multiple levels.Work closely with cross-functional teams of data scientists, product managers, designers and‚Ä¶",Indeed.com,Data Scientist,,,
91,"Product Analyst, Data Science",Google,New York,NY,10011,USA,0.00,0.00,0.00,0.00,4.3," BA/BS or Master's degree in a quantitative field such as; Statistics, Computer Science, Engineering, Mathematics, Data Sciences.",Indeed.com,Data Analyst,,,
92,Data Scientist (PhD Statistics ONLY),Nabler (Fortune 500 client),,,,USA,"$100,000 - $140,000 a year",100000.00,140000.00,120000.00,," Engages in developing the next generation data scientist through the junior data scientists.You will be hired as a Nabler employee initially, embedded with a‚Ä¶",Indeed.com,Data Scientist,Senior,,
93,Data Scientist,Mars,,,,USA,0.00,0.00,0.00,0.00,3.9, 1+ years‚Äô experience in a data science role handling varied and complex data.A BIT ABOUT OUR DATA SCIENCE & ANALYTICS TEAM.We want the trailblazers in tech.,Indeed.com,Data Scientist,,,
94,Machine Learning Engineer,Triplebyte,,,,USA,"$125,000 - $190,000 a year",125000.00,190000.00,157500.00,," For any company building software, this is crucial for success.Fields your work will touch on*.We have a novel dataset of candidate profiles and interview‚Ä¶",Indeed.com,AI/ML,,,
95,Data Science Consultant,"ASR Analytics, LLC",,,,USA,0.00,0.00,0.00,0.00,," A solid understanding of data science, advanced statistics, machine learning, data mining and visualization techniques are a must.",Indeed.com,Data Scientist,,,
96,Data Science/ML engineer with specialty in NLP and computer vision,Transport Learning,,,,USA,"$80,000 - $150,000 a year",80000.00,150000.00,115000.00,," The responsibilities include classifying unstructured textual and visual data.*Strong command of unstructured data preparation, including collecting and‚Ä¶",Indeed.com,Data Scientist,,,
97,Marketing Data Science Analyst (SQL/Python/Tableau/Alteryx),Tractor Supply Company,,,,USA,0.00,0.00,0.00,0.00,3.5," The Marketing Data Science Analyst is responsible for creating, expanding, maintaining and analyzing optimized data that will be the foundation for cross‚Ä¶",Indeed.com,Data Analyst,Intern,,
98,"Director II, Data Science, GRM Product Design & Modeling Pricing Sophistication",Liberty Mutual Insurance,,,,USA,"$150,200 - $197,600 a year",150200.00,197600.00,173900.00,3.6, Maintain a knowledge of the latest developments in data science and identify ideas for application to business problems.,Indeed.com,Data Scientist,Senior,,
99,Business Analyst - Data Science,MedPro Group,,,,USA,0.00,0.00,0.00,0.00,3.2," Participate in developing functional requirements, testing, training and implementing data science solutions.Translate business needs, processes and procedures‚Ä¶",Indeed.com,Data Analyst,,,
100,Data Scientist,"Computer Enterprises, Inc. (CEI)",Pittsburgh,PA,,USA,$60 - $70 an hour,122400.00,142800.00,132600.00,3.6, Bachelor‚Äôs degree- in engineering/ computer science.A client of CEI is in need of a Data Scientist for a role located in Downtown Pittsburgh.,Indeed.com,Data Scientist,,,
101,Data Scientist,"Flexera Software, Inc.",Itasca,IL,,USA,0.00,0.00,0.00,0.00,, Determining the correct data sets and variables to use from multiple data sources.Analyzing the data to identify patterns and trends.,Indeed.com,Data Scientist,,,
102,Data Science and Analytics Research Fellowship - NIH,ORISE,Bethesda,MD,20852,USA,"$67,600 - $88,421 a year",67600.00,88421.00,78010.50,3.9," As a Research Participant in the NIAID Data Analytics and Research Branch (DARB), the participant will receive training and hands-on-experience in applying and‚Ä¶",Indeed.com,Data Scientist,Fellowship,,
103,Data Scientist,Ameritas,Cincinnati,OH,45240,USA,0.00,0.00,0.00,0.00,3.1," Determine necessary data sets and translate data into viable insights and business recommendations.Assist in automating data wrangling, iterative solution‚Ä¶",Indeed.com,Data Scientist,,,
104,ICI Analytics Data Scientist,Ford Motor Company,Dearborn,MI,48126,USA,0.00,0.00,0.00,0.00,4.2," Random forests, survival analysis, clustering, neural networks), Data Science, Quantitative Social Sciences, Epidemiology, Engineering etc.",Indeed.com,Data Analyst,,,
105,065: Data Scientist,Dataspace,Parsippany,NJ,,USA,"$60,000 - $80,000 a year",60000.00,80000.00,70000.00,," The ideal candidate for this role will be a recent graduate from a recognized Master‚Äôs program in a quantitative field - preferably Data Science, Statistics or‚Ä¶",Indeed.com,Data Scientist,Entry Level,,
106,Sr Data Scientist,Progrexion,Salt Lake City,UT,,USA,0.00,0.00,0.00,0.00,3.4, Acquire data from various data sources and perform adhoc data analysis.Promote collaboration with other data science teams within the organization.,Indeed.com,Data Scientist,Senior,,
